somite_stage,somite_length
3.390243902,77.49953454
4.43597561,87.43134426
5.780487805,96.60212251
6.676829268,86.68544033
7.274390244,79.81986595
8.394817073,89.3705781
9.141768293,82.88784677
10.1875,89.0028626
12.42835366,90.92871439
13.69817073,90.93860547
14.14634146,105.8275926
15.41615854,97.44053714
16.08841463,103.9343232
17.28353659,105.0886706
18.10518293,94.78972724
19.74847561,103.9628328
20.86890244,103.2082015
18.7027439,110.0615574
21.61585366,120.3895923
22.36280488,117.3419754
23.25914634,127.2726215
24.67835366,137.5890197
23.85670732,142.1627723
25.72408537,147.1391501
26.1722561,158.9747021
27.29268293,191.807857
28.48780488,185.3286166
29.38414634,181.1371253
30.50457317,185.7260054
31.32621951,183.0606498
30.50457317,165.4969978
31.47560976,175.809905
32.22256098,169.7088531
33.11890244,171.624232
34.46341463,176.596537
34.6875,165.1479008
35.43445122,155.2300549
36.62957317,163.2546314
37.37652439,157.1535794
38.12347561,154.1059626
39.31859756,160.6038214
40.1402439,167.86213
41.41006098,173.2155325
41.33536585,151.4592255
42.82926829,152.6159002
43.80030488,144.6081968
45.29420732,146.9099097
46.41463415,147.6819959
47.6097561,140.4393968
48.95426829,127.8544498
52.3902439,102.3086948
53.66006098,93.92163936
54.85518293,97.74774251
