somite_stage,frac_growth
2.488072374,0.972233983
5.869330977,0.991939162
13.16150106,0.902275893
11.18758169,0.839450039
11.81148357,0.81021544
10.00385758,0.805748333
6.783099853,0.807535994
5.139836411,0.849138998
3.958767209,0.832334166
3.169537356,0.809354335
7.554469459,0.716845944
13.5091725,0.614998353
14.92568321,0.630248698
15.45919776,0.525752341
16.94727014,0.496450245
17.57117202,0.467215646
18.67440433,0.488634853
19.54122972,0.505464229
21.51394232,0.560609687
23.70930463,0.532788444
22.83692809,0.48062924
20.79410195,0.4792527
24.48598404,0.475892143
26.59771695,0.415819369
28.09302996,0.432599656
29.89751834,0.41709773
31.076174,0.418541768
32.56931482,0.42149734
33.19345806,0.393798821
34.29113921,0.3798882
35.54811447,0.379790021
37.74830387,0.382690369
38.61681874,0.410272301
40.49697182,0.376331286
43.24781196,0.383796918
44.50985566,0.415956409
45.29112081,0.388245617
46.30879288,0.365124656
47.80314047,0.375760625
49.3772558,0.394070856
50.39758277,0.387846768
50.15827959,0.364823985
51.34345182,0.407742168
52.99009423,0.387644276
54.09187841,0.399847006
55.11196403,0.392086839
56.37111148,0.405813376
57.39336929,0.411877924
58.41417897,0.408725995
