length,segment_width
77.4019,18.0872
116.58,20.1426
138.102,20.1007
146.607,26.854
148.927,23.6242
158.206,25.8054
159.495,21.8205
165.165,25.6795
167.356,27.1057
184.11,30.0419
186.558,21.7785
193.26,32.6426
195.708,27.9866
197.77,31.8876
200.606,26.3507
220.323,25.8054
226.638,35.7466
234.242,38.2215
242.103,30
267.491,37.5084
268.651,43.1711
281.668,41.4513
296.746,47.8272
306.54,48.6661
358.477,57.2232
366.306,61.9107
