psm,somite
144.721,25.0127
164.394,25.9669
170.822,28.9567
194.196,36.8448
203.74,40.4071
206.856,40.7252
222.828,37.799
236.073,39.7074
257.694,37.4173
265.68,31.8193
270.744,43.1425
294.312,40.2163
341.449,62.0356
