psm,velocity
128.317,0.741357
137.626,1.36172
141.815,0.831626
141.815,0.831626
143.057,0.77977
154.073,0.725992
168.813,1.12164
177.812,0.835467
186.501,1.23496
196.587,1.14661
198.138,0.93726
213.809,1.01216
221.722,1.29834
234.445,1.28681
240.341,1.32714
253.064,1.5749
261.598,1.54225
