Somite number,PSM length,segment size
111,  976.948044,   30.940499
143, 1262.560211,   35.692473
170, 1177.463507,   36.601157
205, 1687.094501,   50.026600
237, 1428.713001,  102.336085
256,  930.203574,   56.024025
295,  759.866271,   79.399778
